sku		primary		consumer_unit_ean
643491		0		1077044078572704
199427		0		1077046498573439
199429		0		1077046498573446
199420		0		1077046498571558
199421		0		1077046498570872
799206		-1		1077046102244311
799218		-1		1077046102244236
799202		-1		1077046102244144
743543		-1		1076036659831783
743629		-1		1076036659827571
743620		-1		1076036659839215
299907		0		1074773641554788
206797		0		1089341241698908
307140		0		1077046064572231
349331		0		1074773641561274
319251		-1		1077044078574296
318982		-1		1077045641577348
318980		-1		1077045641766988
318212		0		1077044078575392
313516		0		1077044078572742
319291		-1		1077044936411916
318212		-1		1077044078573589
318673		-1		1077044078578874
318674		-1		1077044078578898
333928		0		1077044078579888
485777		-1		1077045641572169
199498		0		1077046498632679
199498		0		1077046498447907
199499		0		1077046498576454
199499		0		1077046498447891
199490		0		1077046498578601
199490		0		1077046498445057
199494		0		1077046498571978
199495		0		1077046498630897
653498		0		1077045641578857
653406		-1		1077044265587689
653495		-1		1077045641583431
124492		0		1077044939075955
804057		-1		1077048683797897
389181		-1		1077044078579291
349256		-1		1077044078570410
403506		-1		1076974751271017
389188		-1		1077044078579765
389181		0		1077044078578553
300100		-1		1077044078572889
301174		-1		1077044078575606
300102		-1		1077044078572810
333928		-1		1077044078572858
313516		-1		1077044078573084
318988		-1		1077045382572923
318675		-1		1077044078578881
318352		-1		1073386341198223
310523		-1		1077044265646836
644107		-1		1077045641583370
644187		-1		1077045641583103
654867		-1		1077337051819782
654856		-1		1077337051886692
349053		-1		1077045641808619
349150		-1		1077045641801948
349136		-1		1073386341527863
349146		-1		1077045641801818
349158		-1		1077045641801009
349292		-1		1077045641809449
349294		-1		1077045641809500
349953		-1		1077045641887973
349052		-1		1077045641806882
