	own_sku	ean_list	content	content_unit	description	temperature_zone	shelf_life	volume_mm3	brutto_weight	brutto_weight_unit
2124	6vDpp	{1077044255870173, 1077044255870111}	1077044255870173	0290 Pils	PILS BLIK	ambient	0	2915250.0	2168	ML
2125	qVz34	{1077044265517488, 1077044265030819, 1077044265643668, 1077044265035814, 1077044265643774}	1077044265030819	0023 Thee	ENGELSE MELANGE 20 X 1 POT	ambient	0	452250.0	105.0	GR
2126	qVz34	{1077044265517488, 1077044265030819, 1077044265643668, 1077044265035814, 1077044265643774}	1077044265517488	0023 Thee	ENGELSE MELANGE 20 X 1 POT	ambient	0	452250.0	105.0	GR
2127	qVz34	{1077044265517488, 1077044265030819, 1077044265643668, 1077044265035814, 1077044265643774}	1077044265643774	0023 Thee	ENGELSE MELANGE 20 X 1 POT	ambient	0	452250.0	105.0	GR
2128	2v99X	{1077044265643651, 1077044265643644, 1077044265085925, 1077044265582998}	1077044265582998	0023 Thee	ENGELSE MELANGE 20 X 1 KOP	ambient	0	585000.0	82.0	GR
2129	2v99X	{1077044265643651, 1077044265643644, 1077044265085925, 1077044265582998}	1077044265643651	0023 Thee	ENGELSE MELANGE 20 X 1 KOP	ambient	0	585000.0	82.0	GR
2130	gK00K	{1077046641505522, 1077046641505300, 1077046641599330}	1077046641505300	0290 Pils	PILS MONO FLES	ambient	0	7820000.0	-	ML
2131	drEEm	{1077045841964412, 1077045841251321, 1077045741530748, 1073334041622999}	1077045841251321	0044 Droge sauzen warm	VLEESJUS NATUREL TRIO	ambient	0	498750.0	95	GR
2132	drEEm	{1077045841964412, 1077045841251321, 1077045741530748, 1073334041622999}	1079334641575675	0044 Droge sauzen warm	VLEESJUS NATUREL TRIO	ambient	0	498750.0	95	GR
2133	0vdYP	{1077044265945809, 1077344347275986, 1077044265082788, 1077044265634772, 1077044265634666}	1077044265082788	0110 Groenten in blik	TOMATENPUREE	ambient	0	226875.0	161.0	GR
2134	0vdYP	{1077044265945809, 1077344347275986, 1077044265082788, 1077044265634772, 1077044265634666}	1077044265634772	0110 Groenten in blik	TOMATENPUREE	ambient	0	226875.0	161.0	GR
2135	DjZ9D	{1074746984627907, 1074746984627365}	1074746984627365	0293 Bieren overig	DUBBEL FLES	ambient	0	828000.0	647	ML
2136	704ze	{1074746984776360, 1074746984776902}	1074746984776360	0293 Bieren overig	TRIPEL FLES	ambient	0	828000.0	659	ML
2137	Z36Gr	{1072317221584097, 1072317221540437}	1072317221540437	0110 Groenten in blik	SNIJBONEN 1/4	ambient	0	367500.0	200.0	GR
2138	RwDGR	{1072317221068016, 1072317221584349}	1072317221068016	0110 Groenten in blik	KAPUCIJNERS 1/4	ambient	0	367500.0	225.0	GR
2139	vEz4a	{1072317221175585, 1072317221177114}	1072317221177114	0110 Groenten in blik	MAC.DE LEGUMES 1/4	ambient	0	343000.0	222.0	GR
2140	MnMwK	{1077045541598931, 1077045541598948}	1077045541598948	0353 Desserts houdbaar	ECHTE SLAGROOM	ambient	0	432000.0	346.0	GR
2141	9jOwm	{1077044265634536, 1077044265115981, 1077044265634543}	1077044265634543	0252 Servetten	ZAKDOEKJES 4 LAAGS 10x10	ambient	0	1485000.0	275	ST
2142	rnzk3	{1077044265645730, 1077044265645747, 1077044265500633, 1077044265110139, 1077044265115134}	1077044265110139	0250 Toiletpapier	TOILETPAPIER KATOEN 3 LAAGS	ambient	0	3705000.0	397	ST
2143	rnzk3	{1077044265645730, 1077044265645747, 1077044265500633, 1077044265110139, 1077044265115134}	1077044265645747	0250 Toiletpapier	TOILETPAPIER KATOEN 3 LAAGS	ambient	0	3705000.0	397	ST
2144	rnzk3	{1077044265645730, 1077044265645747, 1077044265500633, 1077044265110139, 1077044265115134}	1079334641575675	0250 Toiletpapier	TOILETPAPIER KATOEN 3 LAAGS	ambient	0	3705000.0	397	ST
2145	kyzKQ	{1077049241706443, 1077049241706085, 1077049241706078}	1077049241706085	0190 Frisdranken groot	GINGER ALE	ambient	0	1546875.0	1080.0	ML
2146	kyzKQ	{1077049241706443, 1077049241706085, 1077049241706078}	1077049241706443	0190 Frisdranken groot	GINGER ALE	ambient	0	1546875.0	1080.0	ML
2147	XvYOj	{1077744651977161, 1077744651977338, 1077744651286911}	1077744651977338	0042 Tafelzuren	ZWARTE OLIJVEN ZONDER PIT	ambient	0	618750.0	471	ML
2148	XvYOj	{1077744651977161, 1077744651977338, 1077744651286911}	1079334641575675	0042 Tafelzuren	ZWARTE OLIJVEN ZONDER PIT	ambient	0	618750.0	471	ML
2149	zwzQx	{1077044265011771, 1077044265026775}	1077044265026775	0110 Groenten in blik	BRUINE BONEN 1/1	ambient	0	1200000.0	921.0	GR
2150	0vdmq	{1077044265561603, 1077044265587627, 1077044265516894, 1077044265516887}	1077044265516894	0191 Vruchtensappen groot	SINAASAPPELSAP M. VRUCHTVLEES	ambient	0	1137500.0	1084.0	ML
2151	0vdmq	{1077044265561603, 1077044265587627, 1077044265516894, 1077044265516887}	1077044265561603	0191 Vruchtensappen groot	SINAASAPPELSAP M. VRUCHTVLEES	ambient	0	1137500.0	1084.0	ML
2152	MnMYZ	{1077044265561696, 1077044265587610, 1077044265516764, 1077044265516870}	1077044265516870	0191 Vruchtensappen groot	SINAASAPPELSAP	ambient	0	1137500.0	1085.0	ML
2153	MnMYZ	{1077044265561696, 1077044265587610, 1077044265516764, 1077044265516870}	1077044265561696	0191 Vruchtensappen groot	SINAASAPPELSAP	ambient	0	1137500.0	1085.0	ML
2154	PKPob	{1077044265561627, 1077044265516740, 1077044265516757, 1077044265588679}	1077044265516757	0191 Vruchtensappen groot	TWEEDRANK SINAS/ABRIKOOS	ambient	0	1137500.0	1087.0	ML
2155	PKPob	{1077044265561627, 1077044265516740, 1077044265516757, 1077044265588679}	1077044265561627	0191 Vruchtensappen groot	TWEEDRANK SINAS/ABRIKOOS	ambient	0	1137500.0	1087.0	ML
2156	rnz6Z	{1077044265561610, 1077044265516733, 1077044265516726, 1077044265588686}	1077044265516733	0191 Vruchtensappen groot	TWEEDRANK SINAAS/PERZIK	ambient	0	1050000.0	1093.0	ML
2157	rnz6Z	{1077044265561610, 1077044265516733, 1077044265516726, 1077044265588686}	1077044265561610	0191 Vruchtensappen groot	TWEEDRANK SINAAS/PERZIK	ambient	0	1050000.0	1093.0	ML
2158	MnMY7	{1077044265275937, 1077044265654275, 1079334641778790, 1077044265654282, 1077044265620782, 1077044265580239, 1077044265553950, 1077044265580222}	1077044265553950	0076 Houdbaar brood	PITABROODJES	ambient	0	1278750.0	406	ST
2159	MnMY7	{1077044265275937, 1077044265654275, 1079334641778790, 1077044265654282, 1077044265620782, 1077044265580239, 1077044265553950, 1077044265580222}	1077044265654282	0076 Houdbaar brood	PITABROODJES	ambient	0	1278750.0	406	ST
2160	MnMY7	{1077044265275937, 1077044265654275, 1079334641778790, 1077044265654282, 1077044265620782, 1077044265580239, 1077044265553950, 1077044265580222}	1079334641778790	0076 Houdbaar brood	PITABROODJES	ambient	0	1278750.0	406	ST
2161	Ork6Y	{1077044265026874, 1077044265011870}	1077044265026874	0111 Groenten in glas	WITTE BONEN IN TOM. SAUS 3/4	ambient	0	1300000.0	1005.0	GR
2162	bRQvy	{1077044265026720, 1077044265011726}	1077044265026720	0111 Groenten in glas	WITTE BONEN IN TOM. SAUS 1/3	ambient	0	640000.0	535.0	GR
2163	WrWQW	{1077044265026768, 1077044265011764}	1077044265026768	0111 Groenten in glas	BRUINE BONEN 3/4	ambient	0	1300000.0	1000.0	GR
2164	YKeE3	{1077044265026713, 1077044265011719}	1077044265026713	0111 Groenten in glas	BRUINE BONEN 1/3	ambient	0	758625.0	541.0	GR
2165	BemM8	{1077044265011788, 1077044265026782}	1077044265026782	0110 Groenten in blik	KAPUCIJNERS 1/1	ambient	0	1200000.0	943.0	GR
2166	XvYxn	{1077044265079849, 1077044265621130, 1077044265621123}	1077044265621130	0232 Kat nat	ALU KAT KIP/KALKOEN	ambient	0	202500.0	106.0	GR
2167	Z36AD	{1077044265621192, 1077044265621185, 1077044265079948}	1077044265621192	0232 Kat nat	ALU KAT RUND/HART	ambient	0	202500.0	105.0	GR
2168	RwDBv	{1077044265621024, 1077044265079962, 1077044265621031}	1077044265621031	0232 Kat nat	ALU KAT ZALM/GARNAAL	ambient	0	202500.0	108.0	GR
2169	1vM2Y	{1077044265621161, 1077044265621277, 1077044265083877, 1077044265580437}	1077044265580437	0230 Hond nat	ALU HOND RUND/LEVER	ambient	0	300000.0	158.0	GR
2170	1vM2Y	{1077044265621161, 1077044265621277, 1077044265083877, 1077044265580437}	1077044265621277	0230 Hond nat	ALU HOND RUND/LEVER	ambient	0	300000.0	158.0	GR
2171	1vM2Y	{1077044265621161, 1077044265621277, 1077044265083877, 1077044265580437}	1079334641575675	0230 Hond nat	ALU HOND RUND/LEVER	ambient	0	300000.0	158.0	GR
